unique,artist,title,month_year_top,instruments,intended_reaction,volume,services,translations,simplicity,monthly_listeners,merch_sold,tickets_sold,duration_listene,views_song,articles,speed,lyrical_tone,lyrical_tone,year,common_genre,intended_age,awards_won,billboard_hot_100,music_video_4
TPS86,Rob Thomas & Santana,Smooth,Apr 2006,7,3,-4,1,9,1,22,"60,000","100,000",3.5,"200,000,000",5,116,6,6,2000,4,15,1,12,1
TPS87,Shakira & Wyclef Jean,Hips Don't Lie,Apr 2006,7,2,-6,4,14,1,36,"150,000","300,000",3.5,"1,300,000,000",10,100,7,8,2006,8,15,0,12,1
TPS88,The Fray,How To Save A Life,Apr 2006,5,10,-4,4,10,2,18,"80,000","150,000",3.5,"500,000,000",5,122,2,4,2006,5,15,0,12,0
TPS89,John Legend,All Of Me,Sep 2013,2,10,-7,3,12,2,25,"150,000","300,000",3.5,"1,800,000,000",15,120,6,3,2013,1,15,1,14,1
TPS90,Madonna,Music,Aug 2000,4,1,-9,3,8,1,18,"200,000","400,000",3,"300,000,000",20,120,7,6,2000,2,15,1,10,1
TPS91,OutKast,The Way You Move,Sep 2003,5,1,-5,5,10,1,21,"100,000","150,000",3,"500,000,000",10,126,6,7,2003,3,15,1,12,1
TPS92,Camila Cabello & Young Thug,Havana,Aug 2017,3,3,-4,2,13,1,42,"300,000","250,000",3,"2,000,000,000",15,105,4,4,2017,2,15,0,14,1
TPS93,Avril Lavigne,Complicated,Jun 2002,10,7,-6,2,9,2,18,"100,000","200,000",3.5,"400,000,000",15,78,6,6,2002,2,15,0,11,1
TPS94,Matchbox Twenty,Unwell,Mar 2003,8,6,-5,3,8,3,12,"150,000","200,000",3.5,"200,000,000",10,81,4,3,2003,5,15,0,10,0
TPS95,Vertical Horizon,Everything You Want,Jan 2000,8,8,-6,6,7,2,3,"30,000","100,000",3,"200,000,000",2,94,6,4,2000,2,15,0,9,0
TPS96,SZA,Snooze,Dec 2022,6,5,-7,3,6,1,64,"100,000","500,000",3,"300,000,000",20,143,7,4,2022,1,15,0,9,1
TPS97,Lady Gaga ft Bradley Cooper,Shallow,Oct 2018,8,9,-6,3,10,2,51,"200,000","250,000",3,"1,300,000,000",5,96,8,7,2018,2,15,1,12,1
TPS98,Cira & Missy 'Misdemeanor' Elliot,1-2 Step,Oct 2004,6,1,-11,2,8,1,6,"100,000","150,000",3.5,"100,000,000",5,113,8,6,2004,3,15,0,9,1
TPS99,Eve & Gwen Stefani,Let Me Blow Ya Mind,Apr 2001,7,2,-4,5,9,1,5,"50,000","150,000",3,"300,000,000",5,90,5,4,2001,3,18,0,9,1
TPS100,Daniel Powter,Bad Day,Mar 2005,7,7,-4,5,8,2,2,"30,000","100,000",3,"300,000,000",5,140,6,7,2005,2,15,0,10,0
TPS101,"Metro Boomin, The Weeknd & 21 Savage",Creepin',Dec 2022,5,3,-6,3,10,2,50,"400,000","400,000",3,"300,000,000",15,98,3,4,2022,3,15,0,7,0
TPS102,Justin TImberlake,Can't Stop The Feeling,May 2016,7,1,-6,5,11,1,28,"300,000","500,000",3.5,"700,000,000",30,113,9,9,2016,2,18,0,5,1
TPS103,The Chainsmokers & Halsey,Closer,Aug 2016,5,6,-6,3,12,1,35,"400,000","500,000",3,"2,000,000,000",20,95,4,5,2016,10,15,0,8,0
TPS104,Dua Lipa,Don't Start Now,Nov 2019,5,5,-5,4,13,1,71,"600,000","700,000",3,"1,300,000,000",40,124,6,7,2019,2,18,0,7,0
TPS105,"Mario Winans, Enya & P Diddy",I Don't Wanna Know,Feb 2004,7,4,-8,5,8,2,3,"50,000","100,000",3,"100,000,000",5,97,2,2,2004,1,20,0,5,1
TPS106,Beyonce & Jay-Z,Crazy In Love,May 2003,7,3,-7,5,12,1,47,"500,000","1,200,000",3,"500,000,000",30,99,7,8,2003,3,18,1,7,1
TPS107,Luke Combs,Fast Car,Mar 2023,8,3,-6,3,7,1,35,"300,000","800,000",3,"300,000,000",15,98,7,4,2023,12,18,0,6,0
TPS108,Matchbox Twenty,Bent,Apr 2000,6,9,-7,3,7,2,12,"150,000","200,000",3,"200,000,000",10,95,3,6,2000,5,15,0,6,0
TPS109,Gorillaz,Feel Good Inc,Apr 2005,8,5,-7,3,12,3,24,"100,000","200,000",3.5,"600,000,000",15,139,4,3,2005,5,15,0,7,1
TPS110,Maroon 5 & Carti B,Girls Like You,Jun 2018,7,3,-8,4,12,1,47,"400,000","300,000",3.5,"1,500,000,000",10,125,3,6,2018,2,15,0,7,0
TPS111,Imagine Dragons,Radioactive,Aug 2012,9,4,-4,2,11,2,59,"600,000","1,000,000",3.5,"1,800,000,000",30,136,4,7,2012,5,18,0,8,1
TPS112,Lil' Jon & The East Side Boyz,Get Low,May 2003,6,1,-7,3,9,1,7,"60,000","100,000",3,"400,000,000",5,101,8,7,2003,3,18,0,7,0
TPS113,Staind,It's Been Awhile,Apr 2001,9,7,-4,3,7,2,4,"70,000","100,000",3.5,"200,000,000",5,117,3,4,2001,5,15,0,6,0
TPS114,Ashanti,Foolish,Feb 2002,6,5,-6,4,8,1,8,"80,000","100,000",3,"200,000,000",10,90,3,4,2002,1,20,0,9,0
TPS115,Beyonce ,Baby Boy,Aug 2003,6,2,-9,3,10,1,47,"500,000","1,200,000",3.5,"300,000,000",30,91,6,6,2003,1,18,0,8,1
TPS116,Usher,Burn,Mar 2004,7,4,-7,1,9,1,20,"300,000","500,000",3.5,"300,000,000",30,120,3,3,2004,1,15,0,8,0
TPS117,Post Malone & Swae Lee,Sunflower (Spider-Man: Into The Spider-Verse),Oct 2018,6,4,-4,1,11,2,59,"600,000","400,000",3.5,"1,700,000,000",20,90,3,4,2018,3,18,0,9,0
TPS118,Avicii,Wake Me Up,Jun 2013,6,6,-6,1,13,3,46,"300,000","400,000",3.5,"2,000,000,000",15,124,5,3,2013,13,15,0,6,1
TPS119,Lil Nas X & Jack Harlow,Industry Baby,Jul 2021,5,3,-7,5,11,1,53,"500,000","300,000",3,"1,600,000,000",15,150,7,6,2021,3,15,0,7,0
TPS120,Nelly ,Hot in Herre,May 2002,4,1,-5,3,9,1,14,"200,000","200,000",3.5,"200,000,000",20,107,8,7,2002,3,18,0,7,0
TPS121,Tate McRae ,Greedy ,September 2023,8,3,-3,3,6,2,25,"200,000","200,000",2.5,"300,000,000",10,111,5,5,2023,2,18,0,5,0
TPS122,Green Day ,Boulevard of Broken Dreams,Nov 2004,9,8,-4,3,10,2,25,"400,000","600,000",3,"600,000,000",30,167,2,4,2004,5,15,0,8,1
TPS123,Destiny's Child ,Say My Name ,Jan 2000,6,2,-5,4,12,1,11,"100,000","200,000",3.5,"500,000,000",10,138,3,3,2000,1,18,1,7,0
TPS 124,Alicia Keys ,If I Ain't Got You ,Mar 2004,7,6,-9,3,10,1,24,"100,000","200,000",3.5,"500,000,000",15,118,6,4,2004,1,18,1,7,0
TPS125,DaBaby & Roddy Ricch,Rockstar ,Apr 2020,4,2,-6,4,9,1,30,"300,000","400,000",3,"400,000,000",20,90,6,6,2020,3,18,0,8,1
TPS126,Maroon 5,She Will Be Loved ,Jul 2004,3,8,-6,7,12,2,47,"400,000","700,000",3,"600,000,000",50,102,5,4,2004,2,18,0,8,0
TPS127,Justin Timberlake ,SexyBack ,Jul 2006,5,1,-6,7,11,1,38,"300,000","500,000",3.5,"700,000,000",30,117,9,6,2006,2,18,1,7,1
TPS128,Jason Mraz,I am yours ,May 2008,3,8,-9,2,12,1,16,"80,000","100,000",3,"200,000,000",10,151,8,3,2008,2,15,0,6,0
TPS129,Sam Smith & Kim Petras ,Unholy ,Sep 2022,5,3,-7,4,10,1,56,"200,000","300,000",3,"600,000,000",15,131,4,6,2022,2,15,0,5,0
TPS130,Macklemore & Ryan Lewis ,Can't Hold Us ,Jan 2013,9,5,-4,5,11,1,22,"150,000","300,000",3,"500,000,000",10,146,8,7,2013,3,1,1,8,1
TPS131,Shaggy ,Angel ,Dec 2000,3,4,-3,7,8,1,21,"60,000","100,000",3.5,"500,000,000",10,171,7,4,2000,8,18,0,7,0
TPS132,Shakira ,"Whenever, Wherever ",Oct 2001,5,3,-5,6,12,1,36,"200,000","400,000",2,"1,800,000,000",25,108,8,9,2001,2,15,0,8,0
TPS133,Brenda Lee ,Rockin' Around The Christmas Tree,Dec 2007,7,1,-9,8,7,1,10,"30,000","100,000",3,"100,000,000",2,67,10,6,2007,2,18,0,6,0
TPS134,Lonestar ,Amazed ,Jan 2000,5,6,-9,7,6,2,4,"50,000","100,000",3,"300,000,000",5,140,8,4,2000,12,18,0,7,0
TPS135,Carly Rae Jepsen ,Call Me Maybe,Nov 2011,7,2,-7,5,11,1,14,"100,000","150,000",3,"1,000,000,000",10,120,8,6,2011,2,18,0,9,0
TPS136,Chris Brown & Juelz Santana ,Run It ,Aug 2005,5,2,-7,1,8,1,20,"100,000","200,000",3.5,"200,000,000",15,101,7,7,2005,1,15,0,5,0
TPS137,Snoop Dog & Pharrel Williams ,Drop It Like It's Hot ,Oct 2004,5,1,-4,4,10,1,40,"300,000","400,000",3.5,"600,000,000",15,92,6,6,2004,3,18,0,7,0
TPS138,Nickelback ,Someday ,Aug 2003,10,6,-6,2,9,2,18,"200,000","400,000",3,"300,000,000",25,163,4,7,2003,5,18,0,6,0
TPS139,Doja Cat ,Paint The Town Red ,Aug 2023,5,2,-9,3,6,1,69,"400,000","500,000",3.5,"600,000,000",30,100,8,7,2023,3,18,0,8,0
TPS140,Gnarls Barkley ,Crazy ,Apr 2006,7,3,-2,2,11,1,8,"70,000","100,000",3,"1,200,000,000",5,112,4,6,2006,11,20,0,8,0
TPS141,Dido,White Flag ,Sep 2003,8,8,-7,2,8,3,7,"60,000","100,000",3.5,"500,000,000",5,170,3,3,2003,2,15,0,7,1
TPS142,"Robin Thicke, TI & Pharrel Williams ",Blurred Lines ,Mar 2013,5,2,-5,3,11,1,10,"80,000","200,000",3,"1,300,000,000",5,120,6,5,2013,1,18,1,9,1
TPS143,Jennifer Lopez & Ja Rule ,Ain't it Funny ,Jul 2001,4,3,-3,2,8,1,10,"150,000","300,000",3,"200,000,000",15,89,4,7,2001,1,18,0,7,1
TPS144,Justin Bieber ,Love Yourself ,Nov 2015,6,8,-10,2,13,2,73,"800,000","1,000,000",3,"700,000,000",50,100,3,4,2015,2,15,0,8,1
TPS145,Drake WizKid & Kyla ,One Dance ,Apr 2016,8,2,-6,2,14,1,70,"400,000","400,000",3,"1,600,000,000",15,104,6,4,2016,3,15,1,9,1
TPS146,The Black Eyed Peas,My Humps ,Aug 2005,5,1,-6,1,10,1,30,"300,000","600,000",3,"700,000,000",40,124,7,6,2005,3,15,0,7,0
TPS147,Adele ,Someone Like You ,Jan 2011,3,9,-8,2,14,2,64,"600,000","1,000,000",3.5,"1,700,000,000",50,135,3,3,2011,2,15,1,8,1
TPS148,Eminem ,Without Me ,May 2002,7,5,-3,5,12,1,66,"500,000","800,000",3,"1,000,000,000",60,112,6,7,2002,3,18,0,8,1
TPS149,Gwen Stefani,Hollaback Girl ,Apr 2005,6,3,-2,2,9,1,8,"100,000","300,000",3.5,"600,000,000",20,110,7,7,2005,2,15,0,9,1
TPS150,Post Malone & 21 Savage ,Rockstar ,Sep 2017,4,3,-7,3,12,1,59,"600,000","400,000",3.5,"1,600,000,000",20,160,6,7,2017,2,15,1,10,1
TPS151,Nelly Furtado ,Say It Right ,Nov 2006,6,5,-6,1,11,1,12,"100,000","200,000",3,"200,000,000",10,117,4,6,2006,2,15,0,7,0
TPS152,One Repubic ,Counting Stars ,May 2013,8,7,-5,3,13,3,50,"200,000","500,000",3.5,"1,700,000,000",30,122,6,5,2013,5,15,0,8,1
TPS153,Kelly Clarkson,Breakaway ,Aug 2004,6,8,-4,2,9,2,17,"200,000","300,000",3,"300,000,000",30,160,7,6,2004,13,15,0,7,1
TPS154,Hoobastank,The Reason ,Mar 2004,9,7,-6,3,9,2,5,"50,000","100,000",3.5,"200,000,000",5,83,4,3,2004,2,15,0,7,1
TPS155,Major Lazer & DJ Snake ,Lean On,Mar 2015,7,6,-3,1,14,1,37,"200,000","400,000",3,"1,500,000,000",10,98,5,6,2015,5,15,0,9,0
TPS156,Natasha Bedingfield ,Unwritten ,Dec 2004,6,6,-6,4,8,2,7,"40,000","100,000",3.5,"200,000,000",5,100,8,7,2004,2,15,0,8,0
TPS157,Lifehouse ,You & Me ,Feb 2005,5,4,,3,7,1,5,"70,000","100,000",3.5,"200,000,000",10,140,6,3,2005,1,15,0,6,1
TPS158,Dido,Thank You ,Jan 2001,6,8,-10,3,8,3,7,"60,000","100,000",3,"300,000,000",5,80,7,3,2001,6,15,0,7,0
TPS159,Sisqo,Thong Song ,Jan 2000,4,1,-7,2,7,1,2,"40,000","100,000",3,"200,000,000",5,122,5,7,2000,2,18,0,7,1
